Image,Label,area,perimeter,circularity,eccentricity,mean_gray,std_gray,mean_h,mean_s,mean_v,std_h,std_s,std_v,grad_mean,grad_std
156,Plasma,133.0,79.79898941516876,0.26246217415874584,0.6908907107949045,85.36925287356321,28.574617534761405,141.742816091954,119.23994252873563,123.13505747126436,7.121781797954334,31.009243375312177,23.217032757313522,53.847679138183594,42.74075698852539
157,Lymphocyte,32.5,31.899494767189026,0.40135216987829647,0.7993666606844111,49.541666666666664,35.219623436374214,141.82986111111111,152.7222222222222,78.51388888888889,8.503811072600703,34.44882364634952,40.7775105009406,70.75679779052734,67.30097198486328
158,Lymphocyte,148.5,106.3847758769989,0.16488355846356537,0.4612689112946861,98.68343195266272,67.44987459949776,140.6568047337278,120.16272189349112,135.37869822485206,12.271725011614704,56.34608953254029,60.52601100165813,125.90138244628906,106.37480926513672
159,Plasma,95.5,67.55634891986847,0.26295467432026326,0.7948745171947625,91.89685314685315,55.29227671405103,133.0034965034965,114.50524475524476,129.72552447552448,10.276933997542669,45.8512528190883,51.39957122318941,95.96744537353516,73.42008209228516
160,Plasma,206.5,100.38477599620819,0.25751006680832117,0.8578227734774876,107.72624798711755,43.86036733909632,138.58132045088567,98.68921095008052,144.19484702093396,10.628338696221284,38.95062768793337,38.42669629228572,82.08584594726562,42.850181579589844
161,Lymphocyte,229.0,115.4558436870575,0.21588054605424944,0.8066904186480064,117.125,82.5773594548786,130.8433908045977,102.59482758620689,149.53735632183907,27.020796843647336,64.23779169065601,74.23153267706172,124.57760620117188,125.58171844482422
162,Fibroblast,216.5,84.52691102027893,0.3807831902554499,0.8962496102178495,154.5692857142857,19.22419010528354,146.32214285714286,63.1,183.71928571428572,14.891505574162181,16.43706612681055,17.302160874248198,57.858158111572266,35.703304290771484
163,Tumor,270.5,157.15432798862457,0.13763359115617257,0.8731629362780977,73.21952160493827,21.40315264116515,153.0216049382716,146.63464506172838,112.96527777777777,7.42843402017389,19.8939414833862,26.2602777865927,53.94795227050781,33.51036834716797
164,Lymphocyte,134.5,104.04163014888763,0.15614132193820618,0.8586890206349657,43.19851851851852,32.310837501176515,144.43703703703704,175.58074074074074,75.80444444444444,11.401629128172987,32.91543259863079,41.39547634377934,60.30607604980469,66.73008728027344
165,Fibroblast,146.0,83.65685415267944,0.262155915065777,0.837131901181796,121.62236842105263,43.5036692302597,144.03815789473683,85.63157894736842,154.10526315789474,10.923893019977626,34.20316317522598,36.88658968534442,87.56963348388672,52.83797073364258
166,Plasma,84.0,52.485281229019165,0.3831899345564434,0.8763218544832602,90.84838709677419,64.9307291979132,129.3774193548387,114.24193548387096,126.09193548387097,30.51492717404131,50.69875785329268,57.028427541593715,108.70903778076172,117.87660217285156
167,Fibroblast,335.0,98.28427064418793,0.43579940471876305,0.8587488752801936,117.50121212121212,49.63024797119472,157.14151515151516,116.72515151515151,160.0690909090909,19.893937803780204,38.40533309093322,49.28566774051155,78.25880432128906,56.7542610168457
168,Fibroblast,658.5,143.98275542259216,0.3991578570275312,0.734228250878422,100.29850746268657,41.98717786376751,159.40128900949796,136.22184531886023,147.66146540027137,8.757518094120528,30.188928579968973,48.699630912782126,70.81451416015625,50.01290512084961
169,Fibroblast,672.5,193.63960897922516,0.22537916144687778,0.923627798070804,105.16017316017316,47.06837035011838,154.4060606060606,125.69610389610389,149.1,17.28915175663221,37.453663522108236,49.61777671594898,90.2346420288086,60.53415298461914
170,Lymphocyte,322.5,146.87005710601807,0.18787675718355915,0.7268430821208701,69.275,41.215190980906456,154.80462962962963,159.70833333333334,112.07870370370371,12.796041664133254,26.115965122109852,57.87296360856367,66.02601623535156,55.71927261352539
171,Plasma,192.0,117.94112467765808,0.17345249967654713,0.7803566205376041,120.43314285714285,45.395365891334805,137.83200000000002,92.25028571428572,158.24114285714288,19.656952357880783,39.90629291482838,36.67086221834347,125.40489959716797,80.94295501708984
172,Plasma,286.0,115.79898941516876,0.2680194789354395,0.7419461520231602,147.25071225071224,63.5814962000491,148.00712250712252,80.67521367521368,178.02564102564102,21.440268992134307,45.599706800394856,54.56198986977294,106.62165832519531,83.3913345336914
173,Tumor,239.5,88.38477599620819,0.3852657930018023,0.9216041246962042,122.20900900900901,51.1369078285066,150.75735735735736,101.35915915915915,158.04024024024022,12.347665701325644,37.92126522216454,45.581305792837114,74.90911102294922,66.3819580078125
174,Plasma,89.0,68.6274163722992,0.23746771432357444,0.9064572293188458,94.99844720496894,28.860367375385984,149.9813664596273,110.49068322981365,128.81832298136646,7.451059410013487,23.21653887152324,29.09941579606155,59.357269287109375,42.82867431640625
175,Plasma,85.5,83.55634880065918,0.15389236375135104,0.8373962165155986,119.34280303030303,33.99072268291243,143.07386363636365,88.19128787878788,153.31628787878788,7.56788961693606,30.286500640857163,26.86717398118586,74.92205047607422,53.117191314697266
176,Lymphocyte,63.0,46.485281109809875,0.3663696503866671,0.6321239635895124,79.97538461538461,23.935284740760906,141.27076923076922,113.29538461538462,113.92307692307692,8.174664859315905,23.40720750780855,22.702427990996714,50.275367736816406,38.07251739501953
177,Fibroblast,782.5,174.18376541137695,0.32409987303697146,0.907828707962011,99.35584415584415,40.61930477483948,160.07922077922078,135.91385281385283,146.52943722943724,8.863136912494014,28.73748819944023,48.147462423044956,69.11266326904297,46.756473541259766
178,Tumor,981.5,300.7523070573807,0.1363585055992659,0.23322701644923421,159.90349865436372,50.65073194670274,141.48404459823146,59.10726643598616,184.87658592848905,22.71867623446681,39.757990850548076,40.237794632783405,88.50218200683594,71.21257019042969
179,Tumor,113.5,54.72792184352875,0.4761982674682618,0.8978341829798351,112.61304347826086,17.895246013052596,151.0782608695652,101.86739130434783,148.24652173913043,4.8958684020519385,13.691897863618104,17.510558580889043,34.046958923339844,23.409942626953125
180,Plasma,84.0,49.65685415267944,0.42808572332269557,0.9294723723648418,71.51461988304094,21.68794008944481,158.3801169590643,160.47953216374268,116.71052631578947,6.4487599776609,16.932386760836742,30.234770566104537,49.09560012817383,30.70682144165039
181,Fibroblast,404.0,89.79898953437805,0.6295762399726548,0.8602707985892992,105.85449735449735,47.50164753536984,157.9426807760141,131.60493827160494,154.16754850088182,12.344813556210665,34.092764472393355,55.152619463382656,76.38585662841797,58.98442840576172
